,name,lat,lon,type2,type,power_kW,duration,status,usecase,city,state
165,"Beacon Power - (Stephentown, NY) ",42.5539158,-73.3944466,Flywheel,Electro-mechanical,20000,0.25,Operational,Frequency Regulation,Stephentown,NY
166,Gills Onions - Prudent Energy VRB-ESS,34.1908099,-119.16487749999999,Flow Battery,Electro-chemical,600,6,Operational,Electric Bill Management,Oxnard,CA
167,Bath County Pumped Storage Station - Dominion Generation / First Energy,38.198392,-79.80998509999999,Open-loop Pumped Hydro Storage,Pumped Hydro Storage,3003000,10.3,Operational,Electric Energy Time Shift,"George Washington National Forest, Warm Springs",VA
168,Kaheawa Wind Project - Younicos,20.7983626,-156.3319253,Lead-acid Battery,Electro-chemical,1500,0.25,Operational,Ramping ,Maui,HI
169,Tehachapi Wind Energy Storage Project - Southern California Edison,35.036143,-118.28065900000001,Lithium-ion Battery,Electro-chemical,8000,4,Operational,Electric Supply Capacity,Tehachapi,CA
170,Notrees Battery Storage Project - Duke Energy,31.9819386,-102.6147715,Lead-acid Battery,Electro-chemical,36000,0.67,Operational,Electric Energy Time Shift,Goldsmith,TX
171,Redding Electric Utilities (Phase 1) - Ice Energy,40.5865396,-122.3916754,Ice Thermal Storage,Thermal Storage,1000,6,Operational,Electric Energy Time Shift,Redding,CA
172, Anaheim Public Utility- Ice Energy,33.8352932,-117.91450359999999,Ice Thermal Storage,Thermal Storage,200,4.75,Operational,Electric Energy Time Shift,Anaheim,CA
173, Pillar Mountain Wind Project - Xtreme Power,57.4912463,-153.495022,Lead-acid Battery,Electro-chemical,3000,0.25,Operational,Electric Supply Reserve Capacity - Spinning,Kodiak Island,AK
174,National Grid Distributed Energy Storage Systems Demonstration - Vionx Energy,42.408429999999996,-71.0536625,Flow Battery,Electro-chemical,500,6,Operational,Electric Energy Time Shift,Everett,MA
175,Glendale Water and Power -  Ice Energy,34.1425078,-118.255075,Ice Thermal Storage,Thermal Storage,1500,6,Operational,Electric Energy Time Shift,Glendale,CA
176,Southern California Edison - HVAC Optimization Program,34.0805651,-118.072846,Ice Thermal Storage,Thermal Storage,750,6,Operational,Electric Bill Management,Rosemead ,CA
177,PNM Prosperity Energy Storage Project,34.986823,-106.6132321,Lead-acid Battery,Electro-chemical,500,4,Operational,Renewables Capacity Firming,Albuquerque,NM
178,XCEL MinnWind Wind-to-Battery Project - NGK,43.6541362,-96.2128071,Sodium based Battery,Electro-chemical,1000,7.2,Operational,Frequency Regulation,Luverne,MN
179,Battelle Memorial Institute Pacific Northwest Smart Grid Demonstration,44.9428975,-123.03509629999999,Lithium-ion Battery,Electro-chemical,5000,0.25,Operational,Electric Energy Time Shift,Salem,OR
180,St. Kilian Parish and School,40.683741,-80.072446,Ice Thermal Storage,Thermal Storage,100,6,Operational,Electric Bill Management,Cranberry Township,PA
181,Lanai Sustainability Research / La Ola PV Farm - Xtreme Power,20.8165975,-156.92731930000002,Lead-acid Battery,Electro-chemical,1125,0.25,Operational,Frequency Regulation,Lanai,HI
182,Kauai Island Utility Cooperative - Xtreme Power,21.9066667,-159.4691667,Lead-acid Battery,Electro-chemical,1500,0.25,Operational,Electric Supply Reserve Capacity - Non-Spinning,Koloa,HI
183,Bethel Park High School,40.3362589,-80.0450687,Ice Thermal Storage,Thermal Storage,375,6,Operational,Electric Bill Management,Bethel Park,PA
184,Golden Valley Electric Association (GVEA) Battery Energy Storage System (BESS),64.8377778,-147.7163889,Nickel based Battery,Electro-chemical,27000,0.25,Operational,Electric Supply Reserve Capacity - Spinning,Fairbanks,AK
185,Duquesne University,40.4359724,-79.9910907,Ice Thermal Storage,Thermal Storage,600,6,Operational,Electric Bill Management,Pittsburgh,PA
186,Olivenhain-Hodges Storage Project,33.12,-117.09,Open-loop Pumped Hydro Storage,Pumped Hydro Storage,40000,6,Operational,Electric Energy Time Shift,Escondido,CA
187,State of North Carolina - DN Tanks,35.774964399999995,-78.64036750000001,Chilled Water Thermal Storage,Thermal Storage,2590,8,Operational,Electric Energy Time Shift,Raleigh,NC
188,ETT / AEP Presidio NAS Energy Storage System - NGK,29.560738300000004,-104.3721465,Sodium based Battery,Electro-chemical,4000,8,Operational,Electric Supply Capacity,Presidio,TX
189,University of Arizona - Calmac,32.237685,-110.951927,Ice Thermal Storage,Thermal Storage,3000,6,Operational,Electric Bill Management,Tucson,AZ
190,Los Angeles Community College District - Calmac,34.086771999999996,-118.291731,Ice Thermal Storage,Thermal Storage,4620,6,Operational,Electric Bill Management,Los Angeles,CA
191,William & Flora Hewlett Foundation - Calmac,37.423912,-122.193597,Ice Thermal Storage,Thermal Storage,124,9,Operational,Electric Bill Management,Menlo Park,CA
192,EPCC Thermal Storage: Valle Verde,31.753527000000002,-106.36691299999998,Ice Thermal Storage,Thermal Storage,930,8,Operational,Electric Bill Management,El Paso,TX
193,El Capitan - Calmac,34.101323,-118.33974099999999,Ice Thermal Storage,Thermal Storage,150,6,Operational,Electric Bill Management,Los Angeles,CA
194,Long Island Bus BESS,40.7267682,-73.6342954,Sodium based Battery,Electro-chemical,1000,6.5,Operational,Black Start,Garden City,NY
195,Mission City Office Complex - Calmac,32.7832979,-117.1269331,Ice Thermal Storage,Thermal Storage,500,7,Operational,Electric Bill Management,San Diego,CA
196,Santa Rita Jail Smart Grid - Alameda County RDSI CERTS Microgrid Demonstration ,37.7176811,-121.88796090000001,Lithium-ion Battery,Electro-chemical,2000,2,Operational,Electric Bill Management,Dublin,CA
197,Fossil Ridge High School,40.512543,-105.01981299999998,Ice Thermal Storage,Thermal Storage,200,8,Operational,Electric Bill Management,Fort Collins,CO
198,Fort Sill Microgrid - EnSync (Formerly ZBB),34.6606037,-98.4046307,Flow Battery,Electro-chemical,250,2,Operational,Microgrid Capability,Fort Sill,OK
199,Illinois Institute of Technology RDSI Perfect Power Demonstration - EnSync Energy (formerly ZBB),41.8343395,-87.62378659999999,Flow Battery,Electro-chemical,250,2,Operational,Black Start,Chicago,IL
200,O-I World Headquarters,41.5285417,-83.64772099999999,Ice Thermal Storage,Thermal Storage,250,12,Operational,Electric Bill Management,Perrysburg,OH
201,Pualani Manor- EnSync Energy (formerly ZBB),21.32166,-157.864528,Flow Battery,Electro-chemical,60,2.5,Operational,Black Start,Honolulu,HI
202,St. Petersburg Solar Parks Project - EnSync Energy (formerly ZBB),27.773055600000003,-82.64,Flow Battery,Electro-chemical,25,2,Operational,Electric Bill Management with Renewables,St. Petersburg,FL
203,East Penn Manufacturing Co. Grid-Scale Energy Storage Demonstration,40.4776121,-75.7667739,Lead-acid Battery,Electro-chemical,3000,0.72,Operational,Frequency Regulation,Lyon Station,PA
204,University of Central Florida - DN Tanks,28.6004783,-81.2013732,Chilled Water Thermal Storage,Thermal Storage,3000,8,Operational,Electric Energy Time Shift,Orlando,FL
205,Penta Career Center Thermal Storage,41.5818,-83.57205400000001,Ice Thermal Storage,Thermal Storage,750,16,Operational,Electric Bill Management,Perrysburg,OH
206,LIRR Malverne WESS: Maxwell Technologies,40.6754071,-73.6692196,Electro-chemical Capacitor,Electro-chemical,1000,0.2,Operational,Transportation Services,Malverne,NY
207,DTE Community Energy Storage for Grid Support - Monroe Community College CES Unit,41.916447999999995,-83.46615200000001,Lithium-ion Battery,Electro-chemical,500,0.5,Operational,Electric Bill Management with Renewables,Monroe,MI
208,Metlakatla BESS,55.0845439,-131.582469,Lead-acid Battery,Electro-chemical,1000,1.4,Operational,Electric Supply Reserve Capacity - Spinning,Metlakatla,AK
209,Cal Poly - Amonix / Greensmith Energy,34.0569172,-117.8217494,Lithium-ion Battery,Electro-chemical,75,2,Operational,Renewables Capacity Firming,Pomona,CA
210,SDG&E Century Park DESS - Greensmith Energy,32.8234495,-117.1430605,Lithium-ion Battery,Electro-chemical,50,1.67,Operational,Distribution upgrade due to solar,San Diego,CA
211,EPRI Energy Storage System Demonstration - BYD,35.922026200000005,-84.14212380000001,Lithium-ion Battery,Electro-chemical,50,0.92,Operational,Distribution upgrade due to solar,Knoxville,TN
212,EPRI Energy Storage System Demonstration - NEC,35.922026200000005,-84.14212380000001,Lithium-ion Battery,Electro-chemical,25,1.92,Operational,Distribution upgrade due to solar,Knoxville,TN
213,EPRI Energy Storage System Demonstration - Beckett Energy Systems,35.922026200000005,-84.14212380000001,Lithium-ion Battery,Electro-chemical,25,0.5,Operational,Distribution upgrade due to solar,Knoxville,TN
214,McIntosh CAES Plant,31.257220699999998,-88.0280479,Compressed Air Storage,Electro-mechanical,110000,26,Operational,Electric Energy Time Shift,McIntosh,AL
215,Kaheawa Wind Power Project II - Younicos,20.7963889,-156.5141667,Lead-acid Battery,Electro-chemical,10000,0.75,Operational,Electric Supply Reserve Capacity - Spinning,Maalaea,HI
216,7-Eleven Distributed Energy Storage System (DESS) - ConEdison / Green Charge Networks,40.754233,-73.900612,Lithium-ion Battery,Electro-chemical,100,0.97,Operational,Electric Bill Management,Woodside,NY
217,La Guardia Airport Avis Car Rental - Green Charge Networks,40.775851700000004,-73.8839579,Lithium-ion Battery,Electro-chemical,100,1.6,Operational,Electric Bill Management,Queens,NY
218,SustainX Inc Isothermal Compressed Air Energy Storage,42.900694200000004,-70.88161109999999,Compressed Air Storage,Electro-mechanical,1500,1,Operational,Ramping ,Seabrook,NH
219,Montezuma Canyon - Apollo Solar / Iron Edison,37.5333311,-109.23122420000001,Nickel based Battery,Electro-chemical,17,10,Operational,Distribution upgrade due to solar,Montezuma Canyon,UT
220,Las Cruces - Apollo Solar / Iron Edison,32.3199396,-106.7636538,Nickel based Battery,Electro-chemical,48,10,Operational,Electric Supply Capacity,Las Cruces,NM
221,Danbury Residence - Trace / Iron Edison,41.394816999999996,-73.45401109999999,Nickel based Battery,Electro-chemical,20,10,Operational,Distribution upgrade due to solar,Danbury,CT
222,Nissan Technical Center North America,42.508645,-83.4109834,Ice Thermal Storage,Thermal Storage,1425,16,Operational,Electric Bill Management,Farmington Hills,MI
223,JC Penney Headquarters - Calmac,33.0796578,-96.8321443,Ice Thermal Storage,Thermal Storage,4425,12,Operational,Electric Bill Management,Plano,TX
224,Underwriters Laboratories - Calmac,42.1455766,-87.8464909,Ice Thermal Storage,Thermal Storage,1250,14,Operational,Electric Bill Management,Northbrook,IL
225,Delta College Thermal Storage - Calmac,43.5579516,-83.98600359999999,Ice Thermal Storage,Thermal Storage,2025,16,Operational,Electric Bill Management,University Center,MI
226,AES Laurel Mountain,39.002039,-79.88770500000001,Lithium-ion Battery,Electro-chemical,32000,0.25,Operational,Frequency Regulation,Elkins,WV
227,Dynapower Headquarters - Enersys,44.442312,-73.153902,Lead-acid Battery,Electro-chemical,250,4,Operational,Electric Bill Management,Burlington,VT
228,Beacon Power 20 MW Flywheel Frequency Regulation Plant,40.9568399,-76.0275859,Flywheel,Electro-mechanical,20000,0.25,Operational,Frequency Regulation,Hazle Township,PA
229,AEP Charleston NaS Energy Storage Project,38.3498195,-81.6326234,Sodium based Battery,Electro-chemical,1200,6,Operational,Electric Energy Time Shift,Charleston,WV
230,John W. Keys III Pump-Generating Plant,47.953884,-118.989547,Open-loop Pumped Hydro Storage,Pumped Hydro Storage,314000,80,Operational,Electric Energy Time Shift,Grand Coulee,WA
231,Castaic Pumped-Storage Plant,34.6548333,-118.77518429999999,Open-loop Pumped Hydro Storage,Pumped Hydro Storage,1247000,10,Operational,Electric Energy Time Shift,Pyramid Lake,CA
232,Helms Pumped Hydro Storage Project,37.039152,-118.96373,Open-loop Pumped Hydro Storage,Pumped Hydro Storage,1212000,n/a,Operational,Electric Energy Time Shift,Fresno County,CA
233,PG&E Vaca Battery Energy Storage Pilot Project,38.3565773,-121.98774440000001,Sodium based Battery,Electro-chemical,2000,7,Operational,Electric Energy Time Shift,Vacaville,CA
234,STMicroelectronics UPS System - S&C Electric,33.643684,-112.060672,Lead-acid Battery,Electro-chemical,10000,n/a,Operational,Grid-Connected Commercial (Reliability & Quality) ,Phoenix,AZ
235,Waiawa High PV Penetration Circuit,21.438912300000002,-158.0000565,Lithium-ion Battery,Electro-chemical,1000,0.25,Operational,Frequency Regulation,Oahu,HI
236,San Luis (William R. Gianelli) Pumped Storage Hydroelectric Powerplant,37.069105,-121.077373,Open-loop Pumped Hydro Storage,Pumped Hydro Storage,424000,298,Operational,Electric Energy Time Shift,Gustine,CA
237,Vernon Battery Energy Storage System (BESS),34.007121999999995,-118.1926828,Lead-acid Battery,Electro-chemical,5000,0.7,Operational,Electric Bill Management,Vernon,CA
238,Big Creek (John S. Eastwood) Pumped Storage,37.104114,-119.31762579999999,Open-loop Pumped Hydro Storage,Pumped Hydro Storage,199800,17.67,Operational,Electric Energy Time Shift,Shaver Lake,CA
239,Beacon Smart Energy Matrix FESS,37.7799273,-121.9780153,Flywheel,Electro-mechanical,100,0.25,Operational,Frequency Regulation,San Ramon,CA
240,Marshall Steam Station Energy Storage Project,35.597325,-80.964854,Lithium-ion Battery,Electro-chemical,250,3,Operational,Electric Energy Time Shift,Sherrills Ford,NC
241,Altairnano-PJM Li-ion Battery Ancillary Services Demo,40.4776121,-75.7667739,Lithium-ion Battery,Electro-chemical,1000,0.25,Operational,Frequency Regulation,Lyons,PA
242,KPC&L Green Impact Zone SmartGrid ,39.040287899999996,-94.57104090000001,Lithium-ion Battery,Electro-chemical,1000,1,Operational,Distribution upgrade due to solar,Kansas City,MO
243,Edward Hyatt (Oroville) Power Plant,39.513775200000005,-121.55635900000001,Open-loop Pumped Hydro Storage,Pumped Hydro Storage,819000,n/a,Operational,Electric Energy Time Shift,Oroville,CA
244,Mount Elbert Power Plant,39.094097999999995,-106.352352,Open-loop Pumped Hydro Storage,Pumped Hydro Storage,200000,12,Operational,Black Start,Leadville,CO
245,Horse Mesa Pumped Hydro Storage,33.590733,-111.34378899999999,Open-loop Pumped Hydro Storage,Pumped Hydro Storage,97000,n/a,Operational,Electric Energy Time Shift,Apache Junction,AZ
246,Raccoon Mountain Pumped Storage Plant,35.019816299999995,-85.3688937,Open-loop Pumped Hydro Storage,Pumped Hydro Storage,1652000,22,Operational,Electric Energy Time Shift,Chattanooga,TN
247,Lewiston Pump-Generating Plant,43.142984000000006,-79.02180600000001,Open-loop Pumped Hydro Storage,Pumped Hydro Storage,240000,n/a,Operational,Electric Energy Time Shift,Lewiston,NY
248,Ludington Pumped Storage,43.894481,-86.44311,Open-loop Pumped Hydro Storage,Pumped Hydro Storage,1872000,8,Operational,Electric Energy Time Shift,Ludington,MI
249,Northfield Mountain Pumped Storage Hydroelectricity Facility ,42.610827,-72.471313,Open-loop Pumped Hydro Storage,Pumped Hydro Storage,1119000,7.58,Operational,Electric Energy Time Shift,Northfield,MA
250,Muddy Run Pumped Hydro Storage,39.847457,-76.2906717,Open-loop Pumped Hydro Storage,Pumped Hydro Storage,1070000,n/a,Operational,Electric Energy Time Shift,West Holtwood,PA
251,Bad Creek Pumped Hydro Storage,35.010984,-83.00986,Open-loop Pumped Hydro Storage,Pumped Hydro Storage,1065000,24,Operational,Electric Energy Time Shift,Oconee County,SC
252,Jocassee Pumped Hydro Storage,34.960334,-82.916851,Open-loop Pumped Hydro Storage,Pumped Hydro Storage,710000,n/a,Operational,Electric Energy Time Shift,Pickens County,SC
253,Bear Swamp Hydroelectric Power Station,42.687055,-72.96169300000001,Open-loop Pumped Hydro Storage,Pumped Hydro Storage,600000,5,Operational,Electric Energy Time Shift,Rowe,MA
254,Fairfield Pumped Storage,34.2993741,-81.30693149999999,Open-loop Pumped Hydro Storage,Pumped Hydro Storage,511200,6.97,Operational,Electric Energy Time Shift,Jenkinsville,SC
255,Yards Creek Pumped Storage,41.00095,-75.031705,Open-loop Pumped Hydro Storage,Pumped Hydro Storage,400000,6,Operational,Electric Energy Time Shift,Blairstown,NJ
256,Seneca Pumped Storage Generating Station,41.831299,-79.010186,Open-loop Pumped Hydro Storage,Pumped Hydro Storage,440000,n/a,Operational,Electric Energy Time Shift,Mead Township,PA
257,Taum Sauk Hydroelectric Power Station,37.4537502,-90.8435728,Open-loop Pumped Hydro Storage,Pumped Hydro Storage,440000,8,Operational,Electric Energy Time Shift,Lesterville,MO
258,Richard B. Russell Pumped Storage,34.025195000000004,-82.59467,Open-loop Pumped Hydro Storage,Pumped Hydro Storage,600000,n/a,Operational,Electric Energy Time Shift,Richard B. Russell Lake,GA
259,Cabin Creek Generating Station,39.7060984,-105.6975041,Open-loop Pumped Hydro Storage,Pumped Hydro Storage,324000,4,Operational,Black Start,Georgetown,CO
260,Salina Pumped Storage Project,36.26566,-95.10455999999999,Open-loop Pumped Hydro Storage,Pumped Hydro Storage,260000,n/a,Operational,Electric Energy Time Shift,Salina,OK
261,Carters Dam Pumped Storage,34.7659145,-84.7699385,Open-loop Pumped Hydro Storage,Pumped Hydro Storage,250000,n/a,Operational,Electric Energy Time Shift,Chatsworth,GA
262,Smith Mountain Pumped Storage Project,37.049713399999995,-79.6393985,Open-loop Pumped Hydro Storage,Pumped Hydro Storage,560000,n/a,Operational,Electric Energy Time Shift,Smith Mountain Lake,VA
263,Wallace Dam Pumped Storage,33.350038,-83.157226,Open-loop Pumped Hydro Storage,Pumped Hydro Storage,208000,n/a,Operational,Electric Energy Time Shift,Milledgeville,GA
264,Clarence Cannon Dam Pumped Storage,39.524633,-91.643845,Open-loop Pumped Hydro Storage,Pumped Hydro Storage,58000,n/a,Operational,Electric Energy Time Shift,Mark Twain Lake,MO
265,Mormon Flat Pumped Hydro Storage,33.465908,-112.03185900000001,Open-loop Pumped Hydro Storage,Pumped Hydro Storage,50000,n/a,Operational,Electric Energy Time Shift,Tonto National Forest,AZ
266,New Waddell Dam Pumped Hydro Storage,33.2917968,-112.42914640000002,Open-loop Pumped Hydro Storage,Pumped Hydro Storage,45000,n/a,Operational,Electric Energy Time Shift,Maricopa County,AZ
267,DeGray Lake Pumped Hydro Storage,34.213623999999996,-93.110407,Open-loop Pumped Hydro Storage,Pumped Hydro Storage,28000,n/a,Operational,Electric Energy Time Shift,DeGray Lake,AR
268,Blenheim-Gilboa Pumped Storage Power Project,42.442978000000004,-74.448187,Open-loop Pumped Hydro Storage,Pumped Hydro Storage,1160000,15,Operational,Electric Energy Time Shift,North Blenheim,NY
269,CCET Technology Solutions for Wind Integration,33.593410399999996,-102.0291177,Lithium-ion Battery,Electro-chemical,1000,1,Operational,Electric Supply Reserve Capacity - Spinning,Lubbock,TX
270,New Belgium Brewery  - City of Fort Collins Utilities,40.593415,-105.066874,Ice Thermal Storage,Thermal Storage,135,6,Operational,Electric Bill Management,Fort Collins,CO
271,Borrego Springs Microgrid - SDG&E ,33.2558717,-116.37501200000001,Lithium-ion Battery,Electro-chemical,500,3,Operational,Load Following (Tertiary Balancing),Borrego Springs,CA
272,SDG&E Borrego Springs Microgrid Demonstration Project: Community Energy Storage,33.2558717,-116.37501200000001,Lithium-ion Battery,Electro-chemical,75,2,Operational,Electric Energy Time Shift,Borrego Springs,CA
273,SDG&E Borrego Springs Microgrid Demonstration Project: Home Energy Storage,33.2558717,-116.37501200000001,Lithium-ion Battery,Electro-chemical,24,2,Operational,Distribution upgrade due to solar,Borrego Springs,CA
274,University of Hawaii Smart Grid Regional and Energy Storage Demonstration Project (Maui Smart Grid),20.683746,-156.429947,Lithium-ion Battery,Electro-chemical,1000,1,Operational,Electric Energy Time Shift,Wailea,HI
275,Allegheny Power Demonstration Project (RDSI) - West Virginia Super Circuit,39.629526,-79.9558968,Lithium-ion Battery,Electro-chemical,24,2,Operational,Electric Bill Management with Renewables,Morgantown,WV
276,O'Neill Pump-Generating Plant,37.0582786,-120.84991509999999,Open-loop Pumped Hydro Storage,Pumped Hydro Storage,25200,n/a,Operational,Electric Energy Time Shift,Los Banos,CA
277,Flatiron Powerplant,40.364905,-105.23579699999999,Open-loop Pumped Hydro Storage,Pumped Hydro Storage,8500,n/a,Operational,Electric Energy Time Shift,Loveland,CO
278,McAlpine Circuit CES System,35.2270869,-80.8431267,Lithium-ion Battery,Electro-chemical,50,1,Operational,Electric Bill Management,Charlotte,NC
279,Rocky River Pumped Storage Plant,41.58258,-73.433801,Open-loop Pumped Hydro Storage,Pumped Hydro Storage,29000,n/a,Operational,Electric Energy Time Shift,New Milford,CT
280,Anchorage Area Battery Energy Storage System,61.2163655,-149.8889459,Lithium-ion Battery,Electro-chemical,25000,0.57,Operational,Electric Energy Time Shift,Anchorage,AK
281,AEP Milton NaS Battery Energy Storage System,38.4345321,-82.1323637,Sodium based Battery,Electro-chemical,2000,6,Operational,Electric Energy Time Shift,Milton,WV
282,AEP Churubusco NaS Battery Energy Storage System,41.2306034,-85.3194208,Sodium based Battery,Electro-chemical,2000,6,Operational,Transportable Transmission/Distribution Upgrade Deferral,Churubusco,IN
283,AEP Bluffton NaS Energy Storage System,40.8953301,-83.8888288,Sodium based Battery,Electro-chemical,2000,6,Operational,Transportable Transmission/Distribution Upgrade Deferral,Bluffton,OH
284,SCE Irvine Smart Grid Demonstration: RESU,33.6387024,-117.8370041,Lithium-ion Battery,Electro-chemical,56,2.5,Operational,Renewables Capacity Firming,Irvine,CA
285,HECO/Greensmith Energy Battery Energy Storage System,21.3069444,-157.8583333,Lithium-ion Battery,Electro-chemical,5,4,Operational,Onsite Renewable Generation Shifting,Honolulu,HI
286,ATK Launch Systems Microgrid CAES,41.665572999999995,-112.435667,Compressed Air Storage,Electro-mechanical,80,0.75,Operational,Electric Bill Management,Promontory,UT
287,UNLV RDSI Demonstration Project,36.114646,-115.172816,Lithium-ion Battery,Electro-chemical,9,0.95,Operational,Electric Energy Time Shift,Las Vegas,NV
288,UCSD BMW 2nd Life EV Energy Storage System,32.8769207,-117.23614779999998,Lithium-ion Battery,Electro-chemical,108,1.67,Operational,Electric Bill Management with Renewables,La Jolla,CA
289,UCSD - BYD Energy Storage System,32.8769207,-117.23614779999998,Lithium-ion Battery,Electro-chemical,2500,2,Operational,Electric Bill Management with Renewables,La Jolla,CA
290,SNOPUD MESA 1a Project,47.9366303,-122.24794170000001,Lithium-ion Battery,Electro-chemical,1000,0.5,Operational,Electric Energy Time Shift,Everett,WA
291,South Austin Recreational Center Distributed Energy Storage Pilot,30.241834000000004,-97.76795,Ice Thermal Storage,Thermal Storage,15,4.67,Operational,Electric Bill Management,Austin,TX
292,Ice Energy Big Box Retailer Project,36.114646,-115.172816,Ice Thermal Storage,Thermal Storage,38,4.67,Operational,Electric Bill Management,Las Vegas,NV
293,Ice Energy Storage at Staples Retailer,40.1421639,-74.2255465,Ice Thermal Storage,Thermal Storage,38,4.67,Operational,Electric Bill Management,Howell,NJ
294,Axion PowerCube for PJM,41.0648451,-80.3624375,Lead-acid Battery,Electro-chemical,500,0.5,Operational,Frequency Regulation,New Castle,PA
295,Ice Energy Manufacturing Facility Project,40.578748499999996,-105.0049308,Ice Thermal Storage,Thermal Storage,24,6,Operational,Electric Bill Management,Fort Collins,CO
296,Park Marina Building,40.582701,-122.37038899999999,Ice Thermal Storage,Thermal Storage,132,6,Operational,Electric Bill Management,Redding,CA
297,Rocky Mountain Hydroelectric Plant,34.2828967,-85.23084140000002,Open-loop Pumped Hydro Storage,Pumped Hydro Storage,1095000,n/a,Operational,Electric Supply Reserve Capacity - Spinning,Floyd County,GA
298,Encinitas Civic Center,33.044753,-117.26723100000001,Ice Thermal Storage,Thermal Storage,75,6,Operational,Electric Bill Management,Encinitas,CA
299,Nordstrom (Ala Moana Center) - Calmac,21.291288100000003,-157.84296469999998,Ice Thermal Storage,Thermal Storage,1200,6,Operational,Electric Bill Management,Honolulu,HI
300,Shell Point Retirement Village,26.515668100000003,-81.99571379999999,Ice Thermal Storage,Thermal Storage,4800,6,Operational,Electric Bill Management,Fort Myers,FL
301,Cache Creek Casino,38.7342564,-122.14293570000001,Chilled Water Thermal Storage,Thermal Storage,1300,6,Operational,Electric Bill Management,Brooks,CA
302,VA Medical Center,32.694882,-96.789985,Chilled Water Thermal Storage,Thermal Storage,2300,8,Operational,Electric Bill Management,Dallas,TX
303,Lackland Air Force Base,29.38263,-98.6133217,Chilled Water Thermal Storage,Thermal Storage,580,8,Operational,Electric Bill Management,San Antonio,TX
304,Geisinger Health System,40.9678905,-76.6050616,Chilled Water Thermal Storage,Thermal Storage,700,8,Operational,Electric Bill Management,Danville,PA
305,University of Texas Pan-Am,26.3052059,-98.175972,Chilled Water Thermal Storage,Thermal Storage,875,8,Operational,Electric Bill Management,Edinburg,TX
306,Texas Instruments Manufacturing Plant,32.780139899999995,-96.80045109999999,Chilled Water Thermal Storage,Thermal Storage,6400,8,Operational,Electric Bill Management,Dallas,TX
307,Federal Government Facility Chilled Water TES,38.52245,-77.289687,Chilled Water Thermal Storage,Thermal Storage,274,2.5,Operational,Electric Bill Management,Quantico,VA
308,American Online Data Center,38.8942786,-77.4310992,Chilled Water Thermal Storage,Thermal Storage,1500,2,Operational,Electric Bill Management,Chantilly,VA
309,Thermal Storage at San Antonio International Airport,29.528015500000002,-98.4754012,Chilled Water Thermal Storage,Thermal Storage,422,8,Operational,Electric Bill Management,San Antonio,TX
310,GE Wind Durathon Battery Project ,31.6137467,-98.5721016,Sodium based Battery,Electro-chemical,300,4,Operational,Frequency Regulation,Tehachapi,TX
311,Auwahi Wind Farm ,20.790969699999998,-156.32693380000003,Lithium-ion Battery,Electro-chemical,11000,0.4,Operational,Ramping ,Kula,HI
312,Texas Dispatchable Wind,32.71899260000001,-102.64491009999999,Compressed Air Storage,Electro-mechanical,2000,250,Operational,Electric Supply Capacity,Seminole,TX
313,EaglePicher HQ PowerPyramid,37.0944308,-94.5279523,Lead-acid Battery,Electro-chemical,1000,2,Operational,Electric Bill Management,Joplin,MO
314,SCE Irvine Smart Grid Demonstration: CES,33.6387024,-117.8370041,Lithium-ion Battery,Electro-chemical,25,2,Operational,Load Following (Tertiary Balancing),Irvine,CA
315,SCE Irvine Smart Grid Demonstration: Solar Car Charging Station,33.6839473,-117.79469420000001,Lithium-ion Battery,Electro-chemical,100,1,Operational,Electric Bill Management with Renewables,Irvine,CA
316,SCE Irvine Smart Grid Demonstration: Containerized Distributed Storage Unit,33.6588951,-117.8282121,Lithium-ion Battery,Electro-chemical,2000,0.25,Operational,Electric Energy Time Shift,Irvine,CA
317,TAS Thermal Storage with Combined-Cycle Cogeneration Plant,29.626103999999998,-95.067727,Chilled Water Thermal Storage,Thermal Storage,5100,10,Operational,Electric Energy Time Shift,Pasadena,TX
318,"National Grid Distributed Energy Storage Systems Demonstration (Worcester, MA)",42.262593200000005,-71.8022934,Flow Battery,Electro-chemical,500,6,Operational,Electric Energy Time Shift,Worcester,MA
319,McAlpine Energy Storage System - Duke Energy / BYD,35.053549600000004,-80.8211696,Lithium-ion Battery,Electro-chemical,200,2.5,Operational,Electric Energy Time Shift,Charlotte,NC
320,Clay Terrace Plug-In Ecosystem,39.978371,-86.1180435,Lithium-ion Battery,Electro-chemical,75,0.67,Operational,Electric Bill Management with Renewables,Carmel ,IN
321,Benton PUD Battery Energy Storage,46.2112458,-119.1372338,Lead-acid Battery,Electro-chemical,10,4,Operational,Electric Energy Time Shift,Kennewick,WA
322,SMUD 2500 R St. Housing Development,38.56601920000001,-121.4770676,Lithium-ion Battery,Electro-chemical,153,2.58,Operational,Electric Bill Management with Renewables,Sacramento,CA
323,Power Station Generation Storage,39.952335,-75.16378900000001,Chilled Water Thermal Storage,Thermal Storage,6000,8,Operational,Electric Energy Time Shift,Philadelphia,PA
324,Disney California Adventure,33.815351299999996,-117.92511850000001,Chilled Water Thermal Storage,Thermal Storage,2000,4,Operational,Electric Bill Management,Anaheim,CA
325,Solana Solar Generating Plant,32.918396,-112.972472,Molten Salt Thermal Storage,Thermal Storage,280000,6,Operational,Renewables Energy Time Shift,Gila Bend,AZ
